First_Name,Last_Name,DOB,PAN_Number,Aadhaar_Number,Risk_Score,Fraud_Flag
Diya,Sharma,1992-05-21,SJXSX6514I,877705457497,0.14,0
Sai,Singh,1995-08-19,UOBOA2342G,023587659225,0.12,0
Vivaan,Patel,1980-05-12,OFVCD9141K,158838166764,0.26,0
Aditya,Gupta,1981-05-13,LUDOL3191B,233014630170,0.28,0
Nisha,Patel,1988-02-20,QXVEC6262A,464959676091,0.06,0
Rohan,Joshi,1994-03-06,KQFKY9130Y,142023636482,0.05,0
Sai,Sharma,2003-05-03,613096409P,1714381449,0.92,1
Sai,Gupta,1998-08-21,JCMAO5764Q,152951615797,0.27,0
Vivaan,Kumar,1998-11-12,GLOCT6171E,562096503716,0.26,0
Rohan,Rao,2003-10-12,JDOMA9906Z,718015191192,0.02,0
Diya,Rao,2002-01-31,IVMQZ9014D,875671684600,0.15,0
Aarav,Desai,1998-03-03,FHBQH3826S,574814049951,0.09,0
Sai,Sharma,1997-07-28,USVDV4819Q,566488990134,0.02,0
Isha,Desai,1983-12-04,PLYEW9292X,067960235433,0.3,0
Vihaan,Joshi,1993-06-07,MNXPI0937H,725733242289,0.21,0
Isha,Singh,1992-06-11,KVDBA3943Z,470579787333,0.04,0
Isha,Rao,1971-10-29,HLDBV5555O,299138430515,0.1,0
Kavya,Rao,1993-11-06,PJSZA1611A,507292006361,0.08,0
Kavya,Gupta,1993-09-08,SMPMH2297R,361611189086,0.26,0
Diya,Patel,2000-12-26,BWJYZ1622W,511742757810,0.15,0
Rohan,Gupta,1976-06-30,IXGSD1985E,145818473334,0.23,0
Diya,Gupta,1975-03-01,KJCGJ9491Z,175222400213,0.13,0
Diya,Joshi,1984-12-15,UHJUV6868Y,504757479366,0.18,0
Kavya,Joshi,1973-03-09,QZKDP2442D,836039068553,0.26,0
Vihaan,Joshi,1995-05-24,SEPYJ1365R,204200459046,0.19,0
Vihaan,Sharma,1983-04-17,HTPGK7779M,056728747250,0.21,0
Diya,Desai,2003-06-02,VUCSJ4474P,067103658452,0.11,0
Isha,Rao,1985-06-26,LBNZN0689T,937836233851,0.18,0
Aanya,Gupta,2000-10-28,GJUWB2166N,398826329881,0.23,0
Sai,Singh,1996-05-19,ZJVCY6620S,052250201019,0.15,0
Nisha,Kumar,1971-06-22,TJDMZ0584V,982513826547,0.25,0
Kavya,Sharma,1999-09-11,ZBHDM6526F,904963073662,0.26,0
Rohan,Sharma,2004-08-25,VESZD7021I,395099335223,0.26,0
Sai,Gupta,1991-05-06,GCGEI1659U,568850971798,0.28,0
Vihaan,Singh,1973-03-22,IKIWG2040W,300983822735,0.19,0
Vivaan,Gupta,1980-12-26,IJMOL0536L,630748323711,0.17,0
Vivaan,Joshi,1971-08-26,NWYJU4325D,571873695133,0.15,0
Rohan,Kumar,2004-12-25,MHEAF7256Z,978634915898,0.03,0
Rohan,Gupta,1985-06-02,ZSGUE1304S,601971129413,0.13,0
Diya,Singh,1981-12-16,QOGAU1391I,826936239886,0.23,0
Vihaan,Rao,1987-01-04,WZYJI9643A,671751359240,0.26,0
Diya,Desai,1997-02-18,JMICI3365Q,370123847260,0.07,0
Rohan,Desai,1987-02-27,IDHHP1330T,622661990319,0.24,0
Vihaan,Rao,1998-10-16,ATELB6453R,654187663026,0.19,0
Aditya,Joshi,1994-03-14,GJJFT9667T,322590659660,0.16,0
Isha,Patel,1986-10-09,BITDH0938W,672466820047,0.04,0
Vivaan,Mehta,1974-06-04,OBTWG3495S,641784240474,0.1,0
Nisha,Verma,2004-09-25,XNXLQ1393Y,330928452930,0.28,0
Rohan,Desai,1982-09-27,JJJCX1603H,775901484303,0.25,0
Aanya,Verma,1988-06-17,HUPLF8892C,795904947279,0.02,0
Sai,Singh,1989-05-22,UXHDT3597M,418242800545,0.3,0
Arjun,Desai,1989-08-22,ENTQA5009Q,617224600667,0.11,0
Sai,Rao,1972-03-14,WGQCJ8227V,261565225810,0.04,0
Diya,Singh,1987-03-06,AMJTI7447X,024300349963,0.19,0
Aarav,Joshi,1996-05-06,GMSNL8033Y,863823665166,0.08,0
Isha,Desai,1975-02-01,NMTYA4760Z,136925081438,0.17,0
Nisha,Kumar,1983-11-13,PWZGW5816E,548409790563,0.21,0
Isha,Desai,1994-09-23,OOEWY8499G,161106665227,0.15,0
Vihaan,Verma,1985-03-22,NXLNV9522E,712199724876,0.05,0
Aanya,Rao,1975-04-05,EIBPC0044K,586985497392,0.13,0
Diya,Joshi,1989-09-26,OVMAP0621N,397814853283,0.01,0
Nisha,Desai,2001-10-06,WBDLX2910I,033422750149,0.16,0
Isha,Sharma,1972-01-18,QPZQG9264O,570902686381,0.14,0
Vihaan,Joshi,2001-08-20,GPUEQ5838M,899198164562,0.28,0
Rohan,Joshi,1980-05-29,RCWNF4879E,327477237140,0.27,0
Aditya,Gupta,1978-11-07,MDNPP6298U,260117287751,0.27,0
Rohan,Kumar,1985-12-02,LINAC9048J,876153230277,0.2,0
Rohan,Patel,2003-11-18,ERPLV4237T,939019864035,0.25,0
Vivaan,Joshi,1982-10-30,EYCRX8695C,375834764290,0.21,0
Aanya,Desai,1997-08-23,IUZHW9587E,188994369540,0.18,0
Kavya,Gupta,1991-06-18,YNOBU9325B,593556073477,0.05,0
Isha,Rao,1988-11-24,ONOPN7740I,501788233554,0.09,0
Diya,Rao,1995-12-24,DUERY3434T,791706626850,0.1,0
Arjun,Gupta,1990-09-30,ZGCFX0848Y,911952317042,0.18,0
Isha,Mehta,1971-01-21,DFHYK7941I,436770129984,0.18,0
Vihaan,Joshi,1989-01-04,RSBUX2497A,840428149261,0.2,0
Vivaan,Singh,1988-12-11,CHBBU7891C,229751423253,0.12,0
Arjun,Desai,1977-01-13,ITYTO7249R,013369738834,0.15,0
Nisha,Sharma,1971-03-15,XEAVW1475A,387225549543,0.04,0
Rohan,Rao,1982-12-07,MTQLF7524C,228003308102,0.29,0
Rohan,Sharma,1974-03-10,XMEXY5167R,011679135566,0.22,0
Aanya,Gupta,1998-05-23,SQJXT6591K,053742984146,0.07,0
Aarav,Kumar,1970-07-01,TOUGY8363U,406211299172,0.15,0
Rohan,Sharma,1990-01-29,GSJGI1379J,365162610393,0.19,0
Nisha,Singh,1987-03-14,174813548Z,1499017759,0.88,1
Diya,Gupta,1984-07-29,HGJRF1881S,494268592098,0.12,0
Vihaan,Gupta,1979-11-30,WVGDO2079J,814741817753,0.25,0
Arjun,Singh,1990-01-13,LNSUP5648W,050547454645,0.14,0
Vihaan,Desai,1982-08-20,JYOQG8680R,776758654040,0.29,0
Aarav,Sharma,1976-12-28,232885937M,7114947100,0.82,1
Aarav,Patel,1973-11-01,LGPJU5337N,839898468875,0.09,0
Diya,Singh,2000-07-10,ZZKOC5830B,089741129425,0.28,0
Vivaan,Verma,2002-06-07,YMPGT1821R,608471024727,0.09,0
Nisha,Rao,1988-05-23,OHRKQ9617H,931360219267,0.29,0
Aarav,Kumar,2002-10-07,MDPQF1855M,748948401396,0.03,0
Nisha,Sharma,1992-11-04,BXUFH7874I,585845229739,0.05,0
Nisha,Desai,1999-03-05,QYSSA3412R,848501295335,0.17,0
Diya,Desai,1989-11-27,WUQNO6098A,259604426979,0.19,0
Diya,Patel,1994-04-20,978796189V,7472792948,0.71,1
Vihaan,Desai,1990-02-25,JTLKN2707K,574349985324,0.17,0
Rohan,Patel,1976-09-03,MPJNE5248I,097973680432,0.05,0
Nisha,Kumar,1970-12-23,HKAIS3757K,622427933595,0.02,0
Rohan,Sharma,2004-03-15,NLCEJ1702V,044116820210,0.21,0
Aarav,Kumar,2000-07-19,IQDUV3867F,358649381995,0.26,0
Aanya,Sharma,1995-02-07,QRRQZ3158I,767501214329,0.19,0
Diya,Verma,1975-02-10,JTWIL4525L,634949380295,0.12,0
Rohan,Singh,1999-05-20,ZSPFL7085E,726788872697,0.25,0
Vihaan,Kumar,1976-05-28,MFTJZ7385D,055148077012,0.27,0
Sai,Patel,1975-08-19,QLZIT5190Q,497150923082,0.11,0
Kavya,Joshi,1994-04-20,VNNNJ0440U,674516080391,0.16,0
Nisha,Verma,1970-08-30,NXHAQ9330U,649066213777,0.06,0
Isha,Sharma,1980-10-31,BQYJS8142A,036439191439,0.16,0
Arjun,Patel,1986-06-06,MORTD7188S,746352778071,0.02,0
Isha,Rao,1995-08-06,YOJLO2615T,006819611086,0.14,0
Isha,Rao,1985-11-16,TSYZM0155Q,373693035894,0.12,0
Vihaan,Mehta,1992-01-03,PXWEF4639G,718589684378,0.2,0
Arjun,Mehta,2002-01-11,KKVMZ5196Z,775872466971,0.21,0
Arjun,Mehta,1993-07-27,BODBJ5648X,776438409696,0.05,0
Rohan,Verma,1985-08-20,WKVRC9675R,126303481859,0.11,0
Diya,Kumar,1993-04-01,MXORW4349A,247817645453,0.28,0
Arjun,Rao,1988-02-09,PMSCM6653U,930123744996,0.13,0
Aditya,Gupta,1981-07-03,WDRLA5307J,463940951068,0.1,0
Kavya,Rao,1975-07-08,XFTJX0400A,964015660493,0.22,0
Kavya,Kumar,1995-09-26,ZMAAF5173E,413009925112,0.22,0
Vivaan,Kumar,1979-03-16,AUFNX3557U,735847313330,0.05,0
Arjun,Patel,1984-03-22,ZFQWC2204E,673665427529,0.16,0
Aditya,Singh,1996-11-04,496727008E,3198488930,0.9,1
Sai,Desai,2003-05-07,OYQTF0161D,669038821584,0.22,0
Isha,Singh,1985-07-28,EHNXQ1898L,497234438220,0.04,0
Sai,Patel,2003-10-05,AORMV8601X,171885399226,0.29,0
Isha,Mehta,1979-03-08,JSXHV2697X,878821260265,0.17,0
Arjun,Rao,1973-10-13,ILAGH5971G,724149466169,0.27,0
Aarav,Patel,1975-11-16,BGDOV2738X,836591348282,0.13,0
Isha,Rao,1992-03-29,BASQD9851J,358849255656,0.22,0
Rohan,Singh,1997-07-22,RNPEO9997I,321139835047,0.27,0
Isha,Singh,1972-09-08,CYSVY7704L,407042142074,0.12,0
Vivaan,Singh,1986-08-17,WUCTM0463G,019392859127,0.26,0
Aarav,Gupta,1988-02-02,YBQFI7869D,058827115486,0.15,0
Vivaan,Kumar,2002-08-13,FYBDZ3447F,816561736693,0.06,0
Arjun,Kumar,2002-11-13,ZJGXA8679T,153482840711,0.28,0
Aditya,Sharma,1992-10-02,PYWTC3987V,539458671499,0.12,0
Nisha,Rao,1990-11-24,HBCEV6030V,528332376155,0.09,0
Vihaan,Rao,1974-01-29,ROWZI2938K,588586984113,0.04,0
Nisha,Joshi,2004-11-17,DYSCW8308Z,993392826996,0.3,0
Isha,Joshi,1973-06-15,GSPOE0156N,865736790962,0.26,0
Diya,Sharma,2003-07-30,AXJTV4302J,155619948288,0.13,0
Vivaan,Mehta,1977-06-08,XXFKA4762M,776874571494,0.1,0
Kavya,Gupta,1981-01-31,FZAGU6975I,697919112344,0.04,0
Arjun,Rao,1979-08-25,QNBYY8283L,512439704114,0.11,0
Nisha,Singh,2002-05-25,MLNUY5741X,770855783059,0.26,0
Aarav,Verma,1999-06-26,HGUZD2317B,770061611735,0.29,0
Sai,Kumar,1991-06-25,SQDBG8602X,409241601738,0.29,0
Vihaan,Singh,1983-06-24,621960111J,0769074119,0.88,1
Aarav,Rao,1978-12-31,ARPUP4887J,111444062550,0.15,0
Aanya,Singh,2002-05-06,GYLSO2281H,435259808608,0.13,0
Isha,Patel,1994-08-15,TFBXG1952O,922739834105,0.29,0
Isha,Kumar,1991-10-14,GMRZF8573H,018243149905,0.04,0
Arjun,Kumar,2004-03-06,EASVS6280M,339375365417,0.09,0
Rohan,Gupta,1987-10-19,SAWTN9405O,499236339894,0.11,0
Vihaan,Rao,2004-01-28,IPNHW9410O,428824296338,0.07,0
Aditya,Patel,1990-08-19,RROMS1707N,645126390132,0.25,0
Kavya,Kumar,1996-09-28,JSQAT8867R,870806190754,0.27,0
Aanya,Rao,1977-12-24,TULDY0016M,584005089182,0.06,0
Rohan,Gupta,1997-08-03,ADSGU1544R,142302180158,0.02,0
Isha,Rao,1994-07-05,ESGUL0905F,329293102222,0.13,0
Nisha,Sharma,1978-06-04,SYYGH3642G,488874979827,0.06,0
Isha,Gupta,2004-06-27,PPHJV7010O,726713519564,0.22,0
Aarav,Gupta,1973-04-21,XJRYG7807U,608591074422,0.13,0
Aanya,Kumar,2002-02-23,AGUFN4113E,645296427524,0.22,0
Aditya,Gupta,2000-03-08,ECEEC6232J,985839396405,0.14,0
Diya,Patel,1986-04-29,NCCNE8735M,965403127699,0.2,0
Sai,Mehta,1979-05-03,KFZTF8659E,629675227594,0.23,0
Aanya,Singh,1981-02-02,BMFAO5812S,015198201750,0.14,0
Diya,Rao,1977-07-09,KAQAY2253Q,857815730014,0.12,0
Kavya,Desai,1975-02-04,JWNSX4031A,173436371176,0.17,0
Rohan,Joshi,1996-05-23,IRQVR2234U,846482233159,0.29,0
Nisha,Rao,1981-08-22,FJKFO8221H,473965486701,0.26,0
Nisha,Singh,1975-02-03,DXCEA3420K,586102003415,0.05,0
Kavya,Sharma,1977-11-17,XZHRX6005L,068570819828,0.16,0
Vivaan,Desai,2002-07-10,ZGTLZ6889Y,671306686539,0.03,0
Vihaan,Gupta,1981-07-18,YCSOO6739F,649296715634,0.11,0
Aanya,Desai,1972-10-28,MWTAT2746A,855967653768,0.11,0
Sai,Mehta,1975-04-27,CGFYJ9001J,163439235864,0.15,0
Nisha,Joshi,1995-11-03,UWFLF0743P,622028598723,0.12,0
Rohan,Mehta,2004-10-13,BQXZM7255G,892579302699,0.05,0
Diya,Sharma,2002-06-27,BWDEN2507A,117223568377,0.1,0
Rohan,Singh,1975-07-13,QQCDJ7987U,796862954324,0.1,0
Isha,Patel,1978-10-10,KQSQA5225O,894551887579,0.27,0
Rohan,Rao,1972-11-14,UXZAC0775S,834869457248,0.19,0
Nisha,Gupta,1979-10-22,IPBLI4279H,044280554193,0.17,0
Isha,Kumar,1982-03-16,VSLRC6150J,306661941074,0.06,0
Nisha,Patel,1984-08-02,ORRZH0309S,677676716018,0.06,0
Sai,Desai,1975-05-15,GPFMJ8622R,616350653276,0.19,0
Aditya,Gupta,1991-08-17,NVGAC7548M,027602823339,0.12,0
Rohan,Mehta,1990-12-07,OLIXD1084E,024880461484,0.02,0
Kavya,Kumar,2002-01-17,SSAZI6566M,903994317708,0.22,0
Rohan,Rao,1976-11-26,PAASN5727K,322895614479,0.11,0
Arjun,Gupta,1974-05-30,HGYZC7656Q,315339667480,0.11,0
Diya,Singh,1999-06-25,AKGNQ6757O,927072070433,0.27,0
Sai,Patel,1972-03-04,587887991A,4685169623,0.71,1
Kavya,Singh,1971-07-27,LKXIO5870E,629969180086,0.07,0
Nisha,Singh,1972-09-03,YDSBV1136B,579184273689,0.11,0
Sai,Mehta,1995-05-23,KOBJN1038G,839239316225,0.03,0
Sai,Rao,2001-02-27,WECWG5342Y,855097638676,0.26,0
Nisha,Patel,2000-03-08,OSNDD6320C,779269232399,0.07,0
Sai,Rao,1988-05-07,YJVQX8655T,255825421452,0.3,0
Sai,Sharma,1973-10-14,DICRR4551A,601058131460,0.08,0
Diya,Desai,1988-04-01,CJLUT0844S,719992553092,0.18,0
Aditya,Singh,1994-05-23,JTUTZ4136E,179342636866,0.16,0
Nisha,Mehta,1996-07-27,HTFVQ1679D,466338573568,0.04,0
Vivaan,Desai,1990-10-11,YRLYM2530I,236425229603,0.08,0
Nisha,Gupta,2000-01-05,PJOZL4015U,379074823372,0.1,0
Vivaan,Kumar,1994-02-24,GNEVR7610V,008642690065,0.16,0
Aarav,Kumar,1970-08-08,OVKAR1605U,615586964753,0.19,0
Arjun,Gupta,1977-03-13,KWZEJ6616B,939558710029,0.05,0
Isha,Gupta,1988-04-25,AYSAP0620Q,939149865440,0.18,0
Rohan,Desai,1974-12-16,CEUDS7326J,511430848010,0.24,0
Isha,Patel,1973-02-27,CMCLR2198Y,731084225404,0.02,0
Aanya,Desai,1999-01-06,NHJRJ4524Z,109549694220,0.05,0
Aarav,Singh,1971-08-02,140990693Q,0004157844,0.77,1
Sai,Rao,1972-07-03,QOWTY9043S,463562658531,0.19,0
Arjun,Kumar,1996-01-03,800405407M,2159741833,0.74,1
Nisha,Sharma,1987-07-26,HUNWC4469P,325243763491,0.06,0
Isha,Desai,1972-06-16,XFGCJ8101H,423887763415,0.04,0
Diya,Rao,1979-04-28,RGMSQ3514H,294714562307,0.23,0
Sai,Rao,1990-12-03,GZHVD5056L,231893344708,0.19,0
Diya,Patel,1999-12-26,SGCDP4576L,212897938783,0.05,0
Kavya,Verma,1991-04-01,HIHXF0813O,829469228145,0.2,0
Diya,Desai,2004-12-16,FWTRI5582U,379376004051,0.21,0
Kavya,Singh,2004-07-26,XLHUF6445R,573441901569,0.29,0
Rohan,Singh,1997-11-29,BLQNU6139L,196667233736,0.04,0
Aarav,Joshi,1971-12-30,LVCYP6427K,619626242631,0.22,0
Vihaan,Mehta,1980-08-26,FBCVL0741S,759255267624,0.21,0
Vihaan,Gupta,1983-09-21,WBWSU7883Q,327764590840,0.27,0
Isha,Sharma,1979-01-04,BIWXO3927S,486171716919,0.05,0
Kavya,Gupta,1997-03-18,SXTOJ6824O,913949082999,0.19,0
Aanya,Kumar,1995-01-02,FZNJH5351Q,285782932821,0.26,0
Rohan,Sharma,1970-04-10,NGQLT3720P,194990155155,0.13,0
Vivaan,Verma,1983-08-05,EUGPS2715P,548043563303,0.01,0
Kavya,Patel,1999-10-01,398458526H,6357586871,0.78,1
Vihaan,Singh,1978-07-10,MWPMV1495C,351518088354,0.14,0
Arjun,Kumar,1970-06-29,KHKCJ1619A,884394705517,0.09,0
Kavya,Desai,1983-02-17,MCYOH0946Q,483014909906,0.13,0
Vihaan,Kumar,1991-05-17,AMNEV8775D,491948699081,0.29,0
Arjun,Joshi,1982-09-22,BTKGJ2646M,070985251481,0.26,0
Aanya,Patel,2000-06-06,QTYIR3210W,385416931001,0.08,0
Nisha,Sharma,1981-08-25,KRBLK6148J,140379687264,0.09,0
Arjun,Gupta,1984-03-10,QMDWN9264B,923042814904,0.13,0
Aditya,Verma,2004-03-18,TDANO8880F,255899129666,0.3,0
Isha,Gupta,1973-12-30,WOTCF7069M,134791511604,0.04,0
Kavya,Sharma,2003-01-21,KZIIS5719A,162562757669,0.26,0
Arjun,Rao,1999-08-13,ZLJFW9320A,126015920330,0.11,0
Nisha,Kumar,2001-05-10,QKOEX8538K,632506443464,0.18,0
Arjun,Joshi,1972-06-21,JDTYX3744O,529470819694,0.27,0
Sai,Gupta,1999-12-23,VQZMI7241K,625764213688,0.05,0
Sai,Patel,2003-06-10,JWBZK9852F,964523588992,0.16,0
Sai,Joshi,1970-06-01,716333903F,3547194596,0.78,1
Rohan,Patel,1978-08-21,IVLRD6468R,229786510442,0.11,0
Sai,Mehta,1974-01-15,MWRRC2610L,321041911909,0.13,0
Aarav,Desai,1979-10-21,KJYME1662A,755669522107,0.04,0
Nisha,Desai,1985-05-27,BTTTT4467S,785663506533,0.18,0
Vivaan,Desai,1981-12-31,WFWRV7997S,429569016437,0.06,0
Nisha,Mehta,1970-01-10,130052329Q,7344942261,0.9,1
Diya,Sharma,1992-12-08,FGADF8157W,257324098791,0.06,0
Aarav,Desai,2000-12-04,YWFWL0649K,360605360042,0.17,0
Diya,Sharma,1974-12-25,VCVJW0604L,250191057554,0.03,0
Rohan,Mehta,1998-04-14,FXTTW1962I,670622229207,0.04,0
Kavya,Mehta,1980-06-28,JXJDM7977R,592290751782,0.27,0
Diya,Gupta,2002-01-30,WWUEG3611X,247635213712,0.03,0
Vihaan,Sharma,2000-03-20,UDOGF7114S,802501745279,0.24,0
Aanya,Sharma,1991-09-22,392935931C,6874983211,0.82,1
Sai,Joshi,2001-08-16,HSCBU9137X,405032563328,0.23,0
Diya,Sharma,1984-05-26,368868845N,6879027892,0.71,1
Diya,Sharma,1974-05-06,YZEYE8006G,346221815036,0.21,0
Vihaan,Rao,1977-03-13,IOJYO5250V,403112658160,0.08,0
Isha,Verma,1993-11-07,XTSIC0019A,731212594253,0.04,0
Arjun,Gupta,1997-12-01,GZIGN6230R,036506420020,0.09,0
Arjun,Sharma,1982-01-02,WEMEM5148V,719116256467,0.1,0
Vihaan,Mehta,1979-01-18,ZYKJM3600P,947127635845,0.18,0
Kavya,Kumar,1994-05-16,ORJUK2144G,935856379744,0.2,0
Aarav,Desai,1984-02-24,FUJZH2624F,166594902215,0.23,0
Vivaan,Sharma,2002-07-31,TASEL4846M,892761474291,0.1,0
Rohan,Mehta,1982-07-19,GCIQX0561Q,496324279048,0.16,0
Kavya,Joshi,1985-08-23,XIUPM7859S,760781462861,0.12,0
Aarav,Gupta,1996-10-26,BAJDX0680T,670506258179,0.13,0
Aarav,Verma,1980-12-12,TKLZC5769Q,536381958939,0.17,0
Vivaan,Patel,1995-05-12,CSEDA0650Y,840048594403,0.04,0
Aarav,Joshi,1992-11-17,PHYKJ5790D,415752625634,0.06,0
Aanya,Singh,1993-01-02,JLEGT5063T,185948397115,0.09,0
Nisha,Rao,1987-08-03,YHNEO8809T,527886146773,0.18,0
Aanya,Joshi,1972-03-26,LSZUX1695V,726506890461,0.29,0
Isha,Desai,1973-04-14,ZEYFK1699G,239313056100,0.2,0
Isha,Rao,1979-04-16,YRNRA1508C,336715579299,0.16,0
Arjun,Kumar,1994-07-20,VBBNJ3131E,473100723291,0.2,0
Arjun,Sharma,1984-12-26,DYMRC7685V,200684229316,0.05,0
Arjun,Patel,1972-11-28,YJBJH1390P,989951431186,0.17,0
Diya,Mehta,1988-07-30,VTBIF0898N,333688638845,0.13,0
Kavya,Singh,1986-03-03,IDEDP9012A,660341985365,0.02,0
Vihaan,Gupta,2004-07-11,ZYCZP3979S,106832336292,0.25,0
Arjun,Mehta,1989-11-08,VRBIJ5299Q,193556805093,0.14,0
Arjun,Patel,1992-03-20,GMLNL3888Q,669593704820,0.08,0
Sai,Sharma,1979-11-02,ILWKL0709V,031305910576,0.05,0
Aanya,Gupta,1972-08-31,FCNRI2036U,279612819161,0.12,0
Kavya,Desai,1987-05-07,CGLAY3401P,423386942732,0.09,0
Vivaan,Sharma,1989-11-10,NCLGA0702C,044882686884,0.26,0
Arjun,Kumar,1973-06-14,YYXKO6727C,611544562275,0.26,0
Isha,Singh,1992-06-24,TZAEZ7942M,726797675129,0.1,0
Aarav,Mehta,1975-08-23,PXFYZ2587Q,456680957405,0.03,0
Aanya,Kumar,1985-05-18,EHMFZ0179T,986484737351,0.14,0
Nisha,Singh,1984-10-10,VGRMS1288I,337159582294,0.06,0
Arjun,Gupta,1991-12-21,KTHTS3973P,325578943931,0.2,0
Rohan,Gupta,1983-09-22,EOJKS5851D,575425906429,0.16,0
Aditya,Desai,2000-01-19,HCOYA9367C,097252054647,0.19,0
Vivaan,Desai,1970-04-30,FSOYB9791Z,214427415327,0.08,0
Aarav,Joshi,1989-04-27,NCWFT1844D,227549613740,0.15,0
Vivaan,Kumar,1985-12-13,UNCDZ1771N,218936474076,0.29,0
Aarav,Singh,1984-10-29,UAPXP4551X,169318787049,0.07,0
Aditya,Sharma,1991-05-06,JDAUK9452D,508394081661,0.29,0
Vivaan,Verma,1978-04-04,YOIWC3235X,017691749369,0.14,0
Aditya,Rao,1994-08-15,AQGMQ7900A,863243726610,0.07,0
Vihaan,Rao,2001-04-18,VMCHB6790A,760979957048,0.12,0
Arjun,Mehta,1976-04-26,KBUST0168G,469164883474,0.26,0
Isha,Mehta,1976-08-11,HGJQI8981P,595672480999,0.04,0
Vivaan,Gupta,1989-02-28,IMHVD7714A,088798885133,0.28,0
Arjun,Joshi,1976-06-10,DAZSY5637Q,267811416205,0.23,0
Nisha,Mehta,1983-09-25,ZZZKX6410R,525146741484,0.19,0
Aanya,Mehta,1991-07-20,KCIYD2684V,312323545746,0.3,0
Isha,Mehta,1995-12-18,POUOV7997Y,421338788025,0.27,0
Aanya,Kumar,1982-09-21,GQZNC5538G,937183176728,0.21,0
Isha,Sharma,1973-01-26,YXHKP0858W,801425797161,0.07,0
Arjun,Kumar,1999-09-23,HVWHZ7381Y,034732785085,0.18,0
Diya,Mehta,2002-09-16,IIZGT6129C,239499942479,0.2,0
Aditya,Sharma,1972-03-22,NXWQC5716Z,161949640940,0.1,0
Aditya,Kumar,1992-09-06,CDBZV2196Z,823556027285,0.11,0
Aditya,Kumar,1997-05-09,IMRVZ5964S,219833157675,0.15,0
Arjun,Mehta,1975-06-08,HRIRP5101K,222080867549,0.22,0
Sai,Mehta,2000-01-08,ZULML0659H,753551377825,0.17,0
Aanya,Kumar,1995-01-07,VSFBC6857C,720104950897,0.27,0
Vivaan,Gupta,1993-10-16,WKIEH9070K,636284628377,0.21,0
Aditya,Gupta,1986-08-24,FCMDF2126U,595939565391,0.18,0
Aditya,Mehta,1972-06-15,ITYUP1453B,644822381917,0.02,0
Aditya,Sharma,1994-06-04,JMIEM9703J,472752130880,0.16,0
Aanya,Verma,2003-09-27,356803819C,6358638352,0.92,1
Aditya,Rao,1985-09-25,CXZLF4004X,739464382925,0.12,0
Aanya,Mehta,1994-11-13,NAWTV5536T,456537153283,0.22,0
Isha,Gupta,1983-11-28,NDISB6139B,127695846239,0.14,0
Isha,Joshi,1983-05-30,ZNCZB1388G,535897341635,0.09,0
Vihaan,Verma,1987-12-11,LNNLL9551Z,190374866844,0.03,0
Aditya,Joshi,1988-06-10,ALGYR4715T,982203794950,0.12,0
Vivaan,Desai,1988-06-26,UHUOB4503B,198146359214,0.29,0
Vihaan,Singh,1980-05-29,SJJCI0840D,597161128024,0.25,0
Nisha,Kumar,1991-07-19,KFEKR6862W,376872252515,0.08,0
Arjun,Joshi,1992-07-17,VDMMA2665F,466341538083,0.1,0
Arjun,Gupta,1974-02-10,JFPIX5803B,539612765816,0.1,0
Isha,Verma,1999-07-28,ORWDI3630S,427697407931,0.16,0
Sai,Singh,1982-12-09,CFVMZ5117E,032401630912,0.1,0
Arjun,Kumar,1987-06-21,682396430N,2325679629,0.88,1
Rohan,Rao,1991-05-26,347390043G,2353036480,0.89,1
Nisha,Desai,1972-01-28,YXKTT8095F,776846127285,0.12,0
Aarav,Rao,1978-07-18,AQHIM8438F,583810418750,0.26,0
Vivaan,Patel,1995-09-16,MGYBL1393G,582683738606,0.25,0
Vihaan,Mehta,1983-10-21,232258046R,4413944579,0.97,1
Nisha,Rao,1972-02-29,JYVRQ1361V,884189427091,0.18,0
Aarav,Gupta,1977-11-06,AUXIB3386B,309432643431,0.21,0
Vivaan,Mehta,1975-04-20,TDJIZ6034C,126951006813,0.02,0
Aarav,Joshi,1970-02-07,IFYJP8431X,835435265745,0.11,0
Sai,Singh,1982-01-25,YRSHX4672H,523225177154,0.29,0
Kavya,Patel,1990-01-05,XGSHI5456R,625294590523,0.29,0
Aarav,Joshi,1996-03-25,HXKOF8308U,572223475182,0.2,0
Arjun,Rao,1972-11-21,OGYGS1381Z,974134809482,0.24,0
Rohan,Gupta,1974-05-08,PZPXT9832S,395077290355,0.08,0
Vihaan,Kumar,1975-03-15,IIPRL4156N,300271557729,0.04,0
Isha,Joshi,1977-02-17,TGHIZ7179M,690344954578,0.23,0
Diya,Desai,1979-11-15,ZNBHU7974V,519618283509,0.25,0
Rohan,Kumar,2001-10-15,NWZAH8776H,552651789340,0.28,0
Aditya,Gupta,1983-08-23,MKZCX8459C,041261003750,0.24,0
Rohan,Desai,1982-01-23,PFAYH7764V,716822231140,0.13,0
Arjun,Sharma,1985-09-17,JBKPQ6872K,772779309596,0.03,0
Rohan,Gupta,1982-08-05,VLIEE2000A,558069546973,0.27,0
Aditya,Patel,2000-03-17,ZBZGB7503Z,430900733919,0.1,0
Aanya,Singh,1987-01-04,GRJCD7561B,433984307139,0.12,0
Aditya,Sharma,1981-12-07,NWRFN5098F,850075660135,0.1,0
